epoch,train_acc,val_acc,val_f1,val_auc
1,0.665,0.6181818181818182,0.6911764705882353,0.6775206611570248
2,0.64,0.7181818181818181,0.6990291262135923,0.7793388429752066
3,0.695,0.6727272727272727,0.55,0.806611570247934
4,0.725,0.7090909090909091,0.746031746031746,0.8380165289256198
5,0.795,0.8090909090909091,0.8,0.8780165289256199
6,0.78,0.8363636363636363,0.8235294117647058,0.9051239669421488
7,0.86,0.8727272727272727,0.86,0.9218181818181819
8,0.88,0.8636363636363636,0.8623853211009175,0.9360330578512396
9,0.855,0.9090909090909091,0.9074074074074074,0.9583471074380165
10,0.92,0.9181818181818182,0.9108910891089109,0.9692561983471075
11,0.965,0.9363636363636364,0.9320388349514563,0.9666115702479339
12,0.92,0.9545454545454546,0.9523809523809523,0.9702479338842974
13,0.985,0.9363636363636364,0.9320388349514563,0.9649586776859504
14,0.965,0.9181818181818182,0.9108910891089109,0.9626446280991735
15,0.97,0.9272727272727272,0.9272727272727272,0.9740495867768595
16,0.975,0.9272727272727272,0.9215686274509803,0.9719008264462811
17,0.98,0.9181818181818182,0.9108910891089109,0.9705785123966941
18,1.0,0.9454545454545454,0.9444444444444444,0.9735537190082644
19,0.985,0.9272727272727272,0.9215686274509803,0.9692561983471073
20,0.995,0.9363636363636364,0.9320388349514563,0.9709090909090909
21,0.995,0.9454545454545454,0.9444444444444444,0.9758677685950412
22,1.0,0.9545454545454546,0.9523809523809523,0.9725619834710743
23,1.0,0.9545454545454546,0.9523809523809523,0.9725619834710744
24,0.99,0.9454545454545454,0.9444444444444444,0.9745454545454545
25,0.995,0.9454545454545454,0.9433962264150944,0.9728925619834711
26,0.995,0.9272727272727272,0.9230769230769231,0.9712396694214875
27,1.0,0.9363636363636364,0.9357798165137615,0.9755371900826446
28,0.995,0.9454545454545454,0.9433962264150944,0.9743801652892563
29,0.99,0.9454545454545454,0.9433962264150944,0.9712396694214875
30,0.99,0.9454545454545454,0.9433962264150944,0.969090909090909
31,1.0,0.9545454545454546,0.9523809523809523,0.9682644628099173
32,0.995,0.9272727272727272,0.9259259259259259,0.9738842975206613
