epoch,train_acc,val_acc,val_f1,val_auc
1,0.58,0.6454545454545455,0.6608695652173913,0.6699173553719009
2,0.53,0.6909090909090909,0.6964285714285714,0.7332231404958678
3,0.605,0.7090909090909091,0.75,0.7925619834710743
4,0.635,0.7090909090909091,0.7241379310344828,0.8157024793388429
5,0.735,0.7272727272727273,0.7321428571428571,0.836198347107438
6,0.71,0.7545454545454545,0.773109243697479,0.8535537190082644
7,0.8,0.8272727272727273,0.8288288288288288,0.8652892561983471
8,0.8,0.8,0.78,0.8862809917355372
9,0.755,0.8272727272727273,0.8347826086956521,0.8968595041322315
10,0.81,0.8181818181818182,0.803921568627451,0.9203305785123966
11,0.81,0.8636363636363636,0.8717948717948718,0.9272727272727272
12,0.9,0.8818181818181818,0.8807339449541285,0.9373553719008265
13,0.92,0.8818181818181818,0.8828828828828829,0.9317355371900826
14,0.875,0.9,0.8990825688073395,0.9464462809917354
15,0.93,0.8818181818181818,0.8849557522123894,0.9494214876033058
16,0.905,0.9181818181818182,0.9158878504672897,0.956198347107438
17,0.945,0.8727272727272727,0.8793103448275862,0.955206611570248
18,0.92,0.9181818181818182,0.9158878504672897,0.9623140495867768
19,0.915,0.9,0.9026548672566371,0.964793388429752
20,0.945,0.9272727272727272,0.9272727272727272,0.9657851239669422
21,0.96,0.9272727272727272,0.9259259259259259,0.9684297520661156
22,0.93,0.9181818181818182,0.918918918918919,0.9684297520661157
23,0.965,0.9363636363636364,0.9357798165137615,0.9730578512396695
24,0.96,0.9363636363636364,0.9357798165137615,0.9727272727272728
25,0.96,0.9454545454545454,0.9444444444444444,0.9747107438016529
26,0.96,0.9454545454545454,0.9444444444444444,0.9786776859504132
27,0.965,0.9454545454545454,0.9444444444444444,0.9783471074380166
28,0.97,0.9454545454545454,0.9444444444444444,0.9803305785123967
29,0.985,0.9454545454545454,0.9444444444444444,0.9785123966942149
30,0.99,0.9363636363636364,0.9357798165137615,0.9785123966942149
31,0.98,0.9363636363636364,0.9345794392523364,0.976694214876033
32,0.975,0.9363636363636364,0.9357798165137615,0.9780165289256197
33,0.98,0.9363636363636364,0.9333333333333333,0.9771900826446281
34,0.99,0.9363636363636364,0.9345794392523364,0.9790082644628099
35,0.97,0.9454545454545454,0.9444444444444444,0.976198347107438
36,0.985,0.9363636363636364,0.9357798165137615,0.9783471074380166
37,0.96,0.9454545454545454,0.9444444444444444,0.9798347107438017
38,0.975,0.9454545454545454,0.9444444444444444,0.9816528925619834
39,0.975,0.9454545454545454,0.9444444444444444,0.9808264462809917
40,0.96,0.9454545454545454,0.9444444444444444,0.9814876033057851
41,0.975,0.9454545454545454,0.9444444444444444,0.9811570247933885
42,0.99,0.9454545454545454,0.9444444444444444,0.9803305785123968
43,0.975,0.9363636363636364,0.9357798165137615,0.9804958677685951
44,0.99,0.9363636363636364,0.9357798165137615,0.9806611570247934
45,0.99,0.9454545454545454,0.9444444444444444,0.9809917355371901
